Person,Twitter handle,Twitter URL,id
Kevin O'Leary,@kevinolearytv,https://x.com/kevinolearytv,32002507
Wonderfi Labs,@WonderFiLabs,https://x.com/WonderFiLabs,1461808535038316546
Dean Skurka,@wonderfi_dean,https://x.com/wonderfi_dean,966062874568224769
Bitbuy,@bitbuy,https://x.com/bitbuy,4898325354
Coinsquare,@Coinsquare,https://x.com/Coinsquare,2316553800
Rob De Jaray,@stackingsats,https://x.com/stackingsats,460514897
Jaime Leverton,@JaimeLeverton,https://x.com/JaimeLeverton,3171492344
Brian Armstrong,@brian_armstrong,https://x.com/brian_armstrong,14379660
Base,@base,https://x.com/base,1628067904083181570
jesse.base.eth,@jessepollak,https://x.com/jessepollak,18876842
